Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Caroline Regina Dias Machado;1005389;N� Da Autoriza̤̣o/Licen̤a Sisbio: 52218, Projeto: Estudo De Marcadores Cromoss̫micos Em Chelonia Mydas, Caretta Caretta, Lepidochelys Olivacea E Eretmochelys Imbricata (Testudines: Cheloniidae): �_nfase Na Diversidade Cariot�_pica;11/02/2016;12/02/2016 a 20/02/2016;07/02/2017;Eretmochelys imbricata imbricata;Tartaruga-de-pente;Eretmochelys imbricata;unranked;5;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Eretmochelys;Eretmochelys imbricata;Esp̩cie Amea̤ada;Criticamente em Perigo;Projeto Tamar - Icmbio - Base Pipa;Brasil;RN;Tibau Do Sul;Esp̩cie ṇo Sens�_vel;-624.295;-35.039.517;Coordenada aproximada;Sem Informa̵̤es;Destinado a laborat�_rio
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Ma�_ra Carneiro Proietti;10063;N� Da Autoriza̤̣o/Licen̤a Sisbio: 11888, Projeto: Avalia̤̣o Da Ocorr̻ncia De Fibropapilomatose Em Tartarugas-Verdes (Chelonia Mydas) Da Ilha Do Arvoredo, Sc;02/02/2008;03/02/2008 a 26/04/2008;23/10/2012;Cheloniidae;Sem Informa̵̤es;Cheloniidae;family;86;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Sem Informa̵̤es;Sem Informa̵̤es;Esp̩cie ṇo Amea̤ada;Sem Informa̵̤es;Reserva Biol�_gica Marinha Do Arvoredo;Brasil;SC;Bombinhas;Esp̩cie ṇo Sens�_vel;-27.280.539;-48.384.172;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Ma�_ra Carneiro Proietti;10064;N� Da Autoriza̤̣o/Licen̤a Sisbio: 11888, Projeto: Avalia̤̣o Da Ocorr̻ncia De Fibropapilomatose Em Tartarugas-Verdes (Chelonia Mydas) Da Ilha Do Arvoredo, Sc;03/02/2008;04/02/2008 a 04/04/2008;23/10/2012;Cheloniidae;Sem Informa̵̤es;Cheloniidae;family;86;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Sem Informa̵̤es;Sem Informa̵̤es;Esp̩cie ṇo Amea̤ada;Sem Informa̵̤es;Reserva Biol�_gica Marinha Do Arvoredo;Brasil;SC;Bombinhas;Esp̩cie ṇo Sens�_vel;-27.280.539;-48.384.172;Sem Informa̵̤es;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Ma�_ra Carneiro Proietti;10026;N� Da Autoriza̤̣o/Licen̤a Sisbio: 11888, Projeto: Avalia̤̣o Da Ocorr̻ncia De Fibropapilomatose Em Tartarugas-Verdes (Chelonia Mydas) Da Ilha Do Arvoredo, Sc;02/02/2008;03/02/2008 a 03/04/2008;23/10/2012;Cheloniidae;Sem Informa̵̤es;Cheloniidae;family;86;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Sem Informa̵̤es;Sem Informa̵̤es;Esp̩cie ṇo Amea̤ada;Sem Informa̵̤es;Reserva Biol�_gica Marinha Do Arvoredo;Brasil;SC;Bombinhas;Esp̩cie ṇo Sens�_vel;-27.280.539;-48.384.172;Sem Informa̵̤es;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Roberta Petitet Mathias Do Amaral;100874;N� Da Autoriza̤̣o/Licen̤a Sisbio: 18674, Projeto: Determina̤̣o De Idade E Modelos De Crescimento Em Chelonia Mydas E Caretta Caretta No Litoral Sul Do Rio Grande Do Sul.;31/05/2009;01/06/2009 a 23/08/2009;21/06/2012;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;2;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Praia Do Cassino;Brasil;RS;Rio Grande;Esp̩cie ṇo Sens�_vel;-32.219.914;-52.185.639;Coordenada aproximada;Sem Informa̵̤es;Destinado a laborat�_rio
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Roberta Petitet Mathias Do Amaral;100908;N� Da Autoriza̤̣o/Licen̤a Sisbio: 18674, Projeto: Determina̤̣o De Idade E Modelos De Crescimento Em Chelonia Mydas E Caretta Caretta No Litoral Sul Do Rio Grande Do Sul.;31/05/2009;01/06/2009 a 23/08/2009;21/06/2012;Caretta caretta;Tartaruga-cabe̤uda;Caretta caretta;species;2;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Caretta;Caretta caretta;Esp̩cie Amea̤ada;Em Perigo;Praia Do Cassino;Brasil;RS;Rio Grande;Esp̩cie ṇo Sens�_vel;-32.219.914;-52.185.639;Coordenada aproximada;Sem Informa̵̤es;Destinado a laborat�_rio
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Ma�_ra Carneiro Proietti;10256;N� Da Autoriza̤̣o/Licen̤a Sisbio: 13334, Projeto: Gen̩tica Populacional De Tartarugas Marinhas Da Ilha Do Arvoredo, Sc;19/03/2008;20/03/2008 a 20/04/2008;24/10/2012;Cheloniidae;Sem Informa̵̤es;Cheloniidae;family;115;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Sem Informa̵̤es;Sem Informa̵̤es;Esp̩cie ṇo Amea̤ada;Sem Informa̵̤es;Reserva Biol�_gica Marinha Do Arvoredo;Brasil;SC;Bombinhas;Esp̩cie ṇo Sens�_vel;-2.727.675;-48.388.489;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Wagner Franco Molina;1026;N� Da Autoriza̤̣o/Licen̤a Sisbio: 18404, Projeto: An��lise Gen̩tica E Morfol�_gica Em Alguns Testudines Brasileiros: Caracteriza̤̣o Citogen̩tica, Assimetria Flutuante (Af) E Morfometria Geom̩trica;06/11/2010;07/11/2010 a 29/12/2010;16/08/2016;Eretmochelys imbricata imbricata;Tartaruga-de-pente;Eretmochelys imbricata;unranked;151;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Eretmochelys;Eretmochelys imbricata;Esp̩cie Amea̤ada;Criticamente em Perigo;Praia De Pipa;Brasil;RN;Tibau Do Sul;Esp̩cie ṇo Sens�_vel;-6.227.778;-35.051.389;Sem Informa̵̤es;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Cinthia Carneiro Da Silva;1026435;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25829, Projeto: Fibropapilomas Em Tartarugas Marinhas: Poss�_veis Rela̵̤es Com Polui̤̣o Ambiental Por Metais;28/02/2017;01/03/2017 a 22/03/2017;14/03/2017;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;1;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Praia Do Cassino;Brasil;RS;Rio Grande;Esp̩cie ṇo Sens�_vel;-32.488.611;-52.433.889;Coordenada aproximada;Sem Informa̵̤es;Destinado a laborat�_rio
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Eduardo Tadashi Estevam Yoshida;4580;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25605, Projeto: Avalia̤̣o Do Estresse Oxidativo Em Tartarugas Verdes (Chelonia Mydas) Com Diferentes Graus De Ingesṭo De Res�_duos Antr�_picos;31/03/2010;01/04/2010 a 01/04/2010;22/08/2012;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;15;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Entorno Da Ilha De Santa Catarina;Brasil;SC;Florianopolis;Esp̩cie ṇo Sens�_vel;-27.645.972;-48.550.536;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
